field_key,field_title,reason,final_decision,severity
current_report,Current Report of Functioning or Life Changes:,,,
appearance_other,"If other appearance, please describe:",,,
mood_other,"If other mood, please describe:",,,
affect_other,"If other affect, please describe:",,,
observations,Observations,,accept,0.0
other_ebp,Other EBP:,,accept,0.0
safety_details,Safety Plan Response/Details:,,,
main_question_concern,Main Question/Concern for Today:,,,
lab_results,Lab Results/Collateral Information/Records Review:,,,
medication_side_effects,Medication Side Effects:,,accept,0.0
updated_history,Updated Medical/Family/Social History:,,,
plan_recommendations,Plan/Recommendations:,,accept,0.0
psychoeducation_counseling,PsychoEducation/Counseling :,,,
FacetoFace_textbox,,,,
Functioning_textbox,,,,
Interventions_textbox,,,,
Response_textbox,,,,
Plan_textbox,,,,
goal,Goal for this Services:,,,
narrative,Narrative:,,accept,0.0
goal,"Goal for This Service: Indicate a specific, observable and/or measurable goal(s) related to the client’s mental health needs.",,,
narrative,"SESSION NARRATIVE: Indicate medically necessary service(s) provided. If client/collateral present, also indicate participant(s) response to service(s).",,,
goal,Goal for this Service:,,,
response,Response:,,accept,0.0
riskofharm_notes,Explain (Risk of Harm),,,
documentation,Data,,,
stages_of_change,Stages of Change,,accept,0.0
suggestions,Suggestions & Recommendations,,,
goals,Goal(s),,accept,0.0
interventions_response,Interventions & Response,,accept,0.0
risks,Risk(s) Identified,,,
response,Client's/Other's response and insights to provider's intervention and recommendations,,,
narrative,Narrative,,accept,0.0
narrative,Narrative,,accept,0.0
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
service,Service,,accept,0.0
coordinated_services,Waiver and Non-Waiver Services: List of waiver and non-waiver services reviewed and coordinated in this session.,,,
satisfaction,Satisfaction: A client quote or other indicator of the client or guardian's report of satisfaction or dissatisfaction with the services coordinated during this session.,,,
psych_chief_complaint,Today's Chief Complaint/Reason for Visit,,,
psych_side_effects,Side Effects - Specify,,,
psych_illness,General History of Present Illness - Narrative,,,
psych_review_systems_comments,Review of Systems & Active Medical Problems- Comments,,,
psych_medical_history,Past Psychiatric/Medical History including Past Medication Trials,,,
psych_family_history,Family History,,accept,0.0
psych_social_history,Social History,,accept,0.0
psych_substance_use_history,Substance Use History,,accept,0.0
psych_mental_status_comments,"Mental status exam additional comments, Descriptions",,,
psych_plan,Plan,,accept,0.0
psych_medication_information_education,Medication Information and Education,,accept,0.0
psych_psychosocial_environmental_other_factors,"Psychosocial, Environmental, and Other Factors - Comments",,accept,0.0
purpose_text,,,,
activity_text,,,,
response_text,,,,
overall_outcome_text,,,,
skills_text,"Reason for visit, what skills, tools, and techniques were reviewed with the client and how do those relate to the client's treatment goal? *",,,
quote_text,"Using a client quote,what was the client's response to today's session *",,,
progress_text,What is the provider's perspective on the client's progress and engagement in this session? *,,,
act_progress,"Movement toward treatment plan objectives by (include Individual's perception of services, supports and/or treatment and progress toward goals)",,,
act_staff_intervention,"Staff intervention (i.e. modality, EBP, assignment of homework, etc.)",,,
act_individual_response,Individual's Response to Intervention,,,
individual_response,Individual's Response to Intervention,,,
problem_text,Problem,,accept,0.0
intervention_text,Intervention,,accept,0.0
evaluation_text,Evaluation,,accept,0.0
Description,Description of Crisis,,,
Client_Coping,Client's Coping Skills Used to Reduce Crisis,,,
Community,Community Resources Used/Accessed,,,
goals,Goals Addressed,,,
response,Participation/Response,,,
observation,Staff Observations and Assessment,,,
response,Client Response,,,
treatment_provided,Treatment provided (Document treatment and client outcome during session):,,,
treatment_goals,Progress toward Treatment Goals (Document progress toward this treatment goal):,,,
suicidal_ideation_text,,,,
homicidal_ideation_text,,,,
community_resources,Referral to Community Resources:,,,
contact_with_caregiver,Contact with Caregiver:,,accept,0.0
coordination_of_services_text,,,,
details_of_contact,Details of Contact,,accept,0.0
specific_interventions,"Specific interventions provided by clinician and targeted actions taken, based on curriculum used, to educate or practice skills to support the consumer toward achieving the identified service plan goal/objective focused on during the session.",,,
member,"Member (and family, when applicable) response to the session or intervention (what did the member do in session?):",,,
needs,"Any new needs, goals, and/or objectives identified during session or service:",,,
any_new_needs,"Any new needs, goals, or objectives identified during services:",,,
progress_barriers,Progress or Barriers made towards goals and/or objectives:,,,
specific_activites,"Specific activities performed by Case Manager on behalf of the client/family AND client (and family, when applicable) response to the services (What client did and said during session)",,,
specific_interventions,"Specific interventions provided by clinician and targeted actions taken, based on curriculum used, to educate or practice skills to support the consumer toward achieving the identified service plan goal/objective focused on during the session.",,,
progress_barriers,"Progress, or barriers to progress, made in treatment as it relates to the goals and/or objectives, as evidenced by:",,,
any_new_needs,"Any new needs, goals, and/or objectives identified during session or service:",,,
specific_interventions,"Specific interventions provided by peer and targeted actions taken to support, assist, model, or mentor the consumer toward achieving the identified service plan goal/objective focused on during the session",,,
progress_barriers,"Progress, or barriers to progress, made in treatment as it relates to the goals and/or objectives, as evidenced by:",,,
any_new_needs,"Any new needs, goals, and/or objectives identified during session or service:",,,
act_intervention,Content / Intervention and Progress,,,
cm_intervention,Content / Intervention and Progress,,,
group_response,Response to Group,,accept,0.0
progress_intervention,Content / Intervention and Progress,,,
summary_of_treatment_goals,Summary of treatment goals / objectives / interventions addressed with this contact,,,
interventions_methods,Intervention(s) / Method(s) Details,,,
response_progress,Response to Intervention / Progress Toward Outcomes and Objectives,,,
summary_of_treatment,Summary of treatment / goals / objectives / interventions addressed with this visit,,,
action_plan,Action Plan - 1,,,
intervention_text,Intervention:,,accept,0.0
response_text,Response:,,accept,0.0
progress_text,Progress:,,accept,0.0
additional,Additional Details about Contact:,,,
field_notes,"Field Notes (Client Concerns, Provider Intervention, Response):",,,
new_interventions,The following new Interventions will be implemented: (when there are new interventions):,,,
brief_narrative,Brief Narrative:,,accept,0.0
collateral_contacttb,Collateral Contact,,,
GoalTB,Client Goal Addressed,,,
InterventionTB,Staff Intervention,,,
ResponseTB,Client Response to Intervention,,,
PlanTB,Plan (What are the next Steps):,,,
GoalTB,Client Goal Addressed,,,
InterventionTB,Staff Intervention,,,
ResponseTB,Client Response to Intervention,,,
PlanTB,Plan (What are the next Steps):,,,
GoalTB,Client Goal Addressed (FACE TO FACE ONLY),,,
InterventionTB,Staff Intervention (FACE TO FACE ONLY),,,
ResponseTB,Client Response to Intervention (FACE TO FACE ONLY),,,
PlanTB,Plan (What are the next Steps):,,,
GoalTB,Client Goal Addressed,,,
InterventionTB,Staff Intervention,,,
ResponseTB,Client Response to Intervention,,,
PlanTB,Plan (What are the next Steps):,,,
others_presenttxt,,,,
additional_comments,Additional Comments:,,accept,0.0
add_commentstwo,Additional Comments:,,,
add_commsthree,Additional Comments:,,,
progclient_response,Progress/Client Response to Intervention:,,,
desc_activitytxt,Describe Specific Activity,,,
relevant_info,Relevant New Information Provided About the Individual Since Last Contact (How did strategies work from the previous visit?) Joint Plan for Today's Visit,,,
intervention_comments,Intervention Comments. What was observed/practiced today?,,,
indiv_response,Individual Response to Interventions/Techniques Used. Routine Caregiver's Reflection to Intervention/Techniques Used.,,,
strengths,"Strengths, Needs, Areas of Growth and/or Feedback Provided to Routine Caregiver.",,,
desc_progress,Describe Progress or Lack of Progress,,,
follow_up,Follow Up Plan,,,
response_interactions, Response/Interactions (includes therapist's interactions),,,
additional_comments_oberservations,Additional Comments/Observations,,,
response_intervention,Response/Interactions,,,
comments_oberservations,Additional Comments/Observations,,,
description_text,,,,
recommendations_text,,,,
followup_text,,,,
narrative,סיכום פגישה,,,
situation,Situation,,accept,0.0
response,Client Response,,,
narrative_text,Narrative,,accept,0.0
narrative,Activity Narrative,,,
next_appointment,Next Appointment,,accept,0.0
notes_tb,Notes,,accept,0.0
summary_textbox,SOAP Note,,,
summary_textbox,,,,
problems_textbox,,,,
event_text,,,,
intervention_text, ,,,
hide_PLAN_header, ,,,
hide_TREATMENT_header, ,,,
hide_ASSESSMENT_header, ,,,
reason,Reason for Contact *,,,
description,Description of Service,,,
situation,Situation,,accept,0.0
response,Client Response,,,
response,Client Response to Intervention,,,
response,Client Response to Intervention,,,
therapeutic_intervnetions,Therapeutic Interventions Addressed from ISP,,,
response,Response to,,accept,0.0
individual_client_information,Individual Client Information,,accept,0.0
new_issues,New Issue(s) Presented Today,,,
attended_text,Who attended this session?,,,
concerns_text,,,,
response,Consumer's response to the session:,,,
barriers,Barriers to Discharge,,,
family,Have any family or other support sessions been conducted or scheduled? Why or why not?,,,
frequency_text,"If yes, please note the change in frequency of services and the reason for the change.",,,
levelofcare_text,"If yes, please note the change in the Level of Care and the reason for the change.",,,
concerns_text,,,,
response,Consumer's response to the session:,,,
barriers,Barriers to Discharge,,,
family,Have any family or other support sessions been conducted or scheduled? Why or why not?,,,
frequency_text,"If yes, please note the change in frequency of services and the reason for the change.",,,
levelofcare_text,"If yes, please note the change in the Level of Care and the reason for the change.",,,
intervention_summary,"What client said, intervention, and summary of session:",,,
response_intervention,Client response to intervention:,,,
assigned_homework,"Assigned homework, action steps, or comments on plan:",,,
problem,Problem,,accept,0.0
goal_short_term_long_term,Goal (short/long term),,accept,0.0
0bjective_steps_to_goal,Objective (steps to goal),,,
intervention_modality,Intervention/Modality,,accept,0.0
response,Response,,accept,0.0
response,Response,,accept,0.0
identifying_data,Identifying Data,,accept,0.0
hpi,History Of Present Illness,,,
past_psychiatric_history,Past Psychiatric History,,accept,0.0
family_psychiatric_history,Family Psychiatric History,,accept,0.0
medical_surgical_history,Medical/Surgical History,,accept,0.0
substance_use_history,Substance Use History,,accept,0.0
psychosocial_legal_history,Psychosocial/Legal History,,accept,0.0
birth_development_milestones,Birth and Development Milestones,,accept,0.0
mental_exam_exam,Mental Status Examination,,,
treatment_recommendations,Treatment Recommendations,,accept,0.0
narrative,סיכום פגישה,,,
dap_data_text,Data,,accept,0.0
dap_assessment_text,Assessment,,accept,0.0
dap_plan_text,Plan,,accept,0.0
narrative,Narrative,,accept,0.0
response_outcome,Response/Outcome*,,accept,0.0
parties_txt,,,,
info_txt,,,,
mental_status,Mental Status,,accept,0.0
presenting_issues,"Today's Presenting Issues, Interventions Provided, Response to Intervention",,,
con_sat_text,,,,
focus_text,,,,
factors_text,Precipitating Factors,,,
maladaptive_text,,,,
session_text,,,,
additional_text,,,,
spoke_to,Spoke To,,accept,0.0
call_information,Call Information,,accept,0.0
intervention_text,Therapeutic Intervention Provided,,,
response_text,Client Response to Intervention/Progress Towards Goals and Objectives,,,
note_text,Note,,accept,0.0
narrative,סיכום שיחה קצרה,,,
purpose,PURPOSE,,accept,0.0
objective,Note Address Which PCRP Objective,,,
details,Describe details of the case management service,,,
explain_linkage,Explain linkage to services,,,
observations,Clinical Observations,,,
responses,Client Responses,,,
timeline,Timelines for Next Service,,,
describe_text,Describe details of employment service,,,
clincial_text,Clinical Observations,,,
response_text,Client Responses,,,
progress_text,Progress Towards Recovery Plan Objectives,,,
timeline_text,Timelines for Next Service,,,
actions_text,What actions should the individual complete before next service?,,,
behavioral_desc,Behavioral description of the Presenting Problem or description of New Issue(s) Presented today,,,
objective,Note Address Which PCRP Objective,,,
details,Describe details of PSR/IMR service,,,
observations,Clinical Observations,,,
responses,Client Responses,,,
timeline,Timelines for Next Service,,,
description,Description of Behavior(s),,,
service,Describe details of employment service,,,
details,Details of Follow Up/Admission,,,
strengths,Identify Needs and Strengths of client,,,
details,Describe details of Peer Specialist Service,,,
response,Individual Responses to service provided,,,
timeline,Timeline for Next Service,,,
interventiontxt,,,,
responsetxt,,,,
plantxt,,,,
psych_history_present_illness,"HPI: History of Present Illness: (Elements: Location, Quality, Severity, Duration, Timing, Content, Modifying Factors, Associated Signs / Sx)",,,
psych_identifying_information,Identifying Information:,,accept,0.0
psych_chief_complaint,Chief Complaint,,accept,0.0
psych_developmental_history,Developmental History,,accept,0.0
psych_medical_history,Medical History,,accept,0.0
psych_family_history,Family Psychiatric History,,,
psych_client_history,Client Psychiatric History,,,
psych_social_history,Social History,,accept,0.0
psych_review_systems,Review of Systems,,accept,0.0
psych_mental_exam,Mental Status Exam,,,
psych_assessmentplan,Assessment/Plan,,,
desc_distresstxt,,,,
w_triggerstxt,,,,
plantxt,,,,
intervention_activity,Intervention Activity,,accept,0.0
effectiveness_outcome,Effectiveness / Outcome,,accept,0.0
behavior,BEHAVIOR,,accept,0.0
plan_revisions,Plan Revisions,,accept,0.0
goals_behaviors,Goals/Behaviors,,accept,0.0
purpose,Purpose,,accept,0.0
inteventions,Interventions,,,
impression,Clinical Impression,,,
purpose,Purpose,,accept,0.0
goals,Goals,,accept,0.0
course,Course of Treatment/Action,,,
intervention_text,Intervention (Interaction that occurred during service delivery and how it relates to plan of care),,,
response_text,Response to today's intervention / changes in condition,,,
interventions_during_todays_session,Interventions during today's session,,accept,0.0
not_applicable_explain,Explain Not Applicable answer from previous question,,,
service_recommendation_plan,Service Recommendation / Plan,,accept,0.0
additional_information_and_comments,Additional Information or Comments,,accept,0.0
interventionstb,"Describe interventions used, treatment goals addressed from the ISP (treatment plan) and client's response to intervention:",,,
dangertootherstb,Suicidality / Danger to Others:,,,
Providertextbox,Provider / Client Plan of Action (or future directions/next steps):,,,
Progresstextbox,Progress on treatment plan (ISP) goals since last visit:*,,,
Itemstextbox,Items addressed today which are on the treatment plan (ISP)?,,,
Interventionstextbox,Interventions used and client's response to treatment:,,,
Moodtextbox,Mood / Behavior / Affect / Functioning / Substance Use:,,,
Suicidalitytextbox,Suicidality / Danger to Others:,,,
Providertextbox,Provider / Client Plan of Action (or future directions/next steps):,,,
Progresstextbox,Progress on goals since last visit:,,,
Interventionstextbox,"Interventions used and manner of delivery, including treatment goals addressed on ISP and client's response to intervention:",,,
Moodtextbox,Mood / Behavior / Affect / Functioning / Substance Use:,,,
Suicidalitytextbox,"Suicidality / Danger to Others: If suicidality / danger to others present, complete a Risk Assessment service. If not clinically relevant, put None Reported.",,,
Providertextbox,Provider / Client Plan of Action (or future directions/next steps):*,,,
Progresstextbox,Progress on goals since last visit:,,,
Itemstextbox,What items from the treatment plan (ISP) were addressed today?,,,
Interventionstextbox,"Interventions used and manner of delivery, including treatment goals addressed and client's response:",,,
Suicidalitytextbox,Suicidality / Danger to Others:,,,
Providertextbox,Provider / Client Plan of Action (or future directions/next steps):,,,
Progresstextbox,Progress on goals since last visit:,,,
Itemstextbox,Goals addressed from ISP (treatment plan) today:,,,
Interventionstextbox,"Interventions used, manner of delivery, and client's response:",,,
Moodtextbox,Mood / Behavior / Affect / Functioning / Substance Use:,,,
Suicidalitytextbox,Suicidality / Danger to Others:,,,
Providertextbox,Provider / Client Plan of Action (or future directions/next steps):,,,
victor_service,Service,,accept,0.0
victor_next_steps,Next Steps,,accept,0.0
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
lastservice,Plan from Last Service,,,
scope,Scope of Service/Interventions,,,
response,Client Response to Interventions,,,
Narrative_text,Narrative,,accept,0.0
purpose,Purpose,,accept,0.0
note,Note,,accept,0.0
followup,Follow Up Task,,,
documentation_text,,,,
intervention_text,,,,
response_text,,,,
progress_text,,,,
intervention_description_and_narrative,Describe Interventions Delivered:,,,
patients_response_interventions_delivered,Describe the Patient's Response to Interventions Delivered & Plans for Follow Up:,,,
crisis_presenting_text,Crisis Presenting Problem,,,
describe_risk_text,"Describe Risk (ideation, intent, plan, means, attempt, & other applicable details)",,,
intervention_text,Intervention Description & Narrative:,,,
patient_response_text,Describe the Patient's Response to Interventions Delivered:,,,
follow_up_text,"Follow Up, Plan, & Instructions Given to Patient:",,,
response,Client Response,,,
observations,Significant Observations,,,
response,Client Response,,,
barriers,Barriers to Treatment and Significant Observations,,,
note,Notes,,accept,0.0
G_Addressed,Goal Addressed,,,
S_Changes,Significant changes that have occurred since last visit.,,,
Intervention_txt,,,,
C_Reporttxt,,,,
C_Responsetxt,,,,
Plan_txt,,,,
problem,Problem,,accept,0.0
progress_note,,,,
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
plan_last_service,Plan from Last Service,,accept,0.0
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
plan_last_service,Plan from Last Service,,accept,0.0
new_issues,New Issue(s)/Stressors/Extraordinary Events Presented Today,,,
assessment_update,Diagnostic Assessment Update Required?,,,
brief_mental_status_exam,Brief Mental Status Exam,,accept,0.0
client_presents_a_danger,Client presents as a danger to,,accept,0.0
danger_form_of,Danger is in the form of,,accept,0.0
cm_goals_addressed,Goals Addressed,,accept,0.0
goals_addressed,Goals Addressed in this Session,,,
describe,Describe:,,accept,0.0
comments_text,Comments:,,accept,0.0
tx_plan_goal,Tx Plan Goal,,accept,0.0
issue_observation_intervention_response_plan,"Presenting Issues by Client, Observation by Therapist and Clinical Intervention by Therapist:",,,
more_space_text,Additional information:,,,
clinical_course,Clinical course of treatment including rationale for today's service,,,
changes_consumer,Changes in the consumer's condition or situation,,,
response,Current status and response to treatment,,,
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
cc_note,Progress Note*,,,
note,Progress Note,,,
session_objective_text,Session Objective/Intervention for the session:,,,
session_summary_text,Session summary/brief narrative of session:,,,
mood_text,Mood/Affect/Behavior:,,,
assignment_text,Assignment: (What the young person will do before the next session),,,
educational_text,Educational Component: (What the young person learned),,,
safety_text,"Safety: (Include any relevant updated information, including update to safety plan, crisis response, de-escalation and/or functional analysis if applicable)",,,
sa_cc_note,Progress Note,,,
sa_cm_note,Progress Note,,,
information_text,New Salient Information provided by client/family:,,,
goals_text,Goal(s)/Objective(s) focused on in this session:,,,
interventions_text,Interventions provided and client/family response:,,,
information_text,New Salient Information provided by client/family:,,,
goals_text,Goal(s)/Objective(s) focused on in this session:,,,
interventions_text,Interventions provided and client/family response:,,,
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
issues,"Specific problems(s), issue(s), behavior(s), skill deficits addressed:",,,
mental,Update on client mental health status and significant life changes:,,,
effort,Case Manager’s Efforts/Activities:,,,
progress_since,"Progress Since Last Visit: Progress and Updates Since Last Visit OR If Appointment No Show/Cancelled, MUST Document Follow Up:",,,
purpose,Purpose of Contact:,,,
recipient_response,Recipient Response/Plans Toward Goal(s):,,,
present,Who was present/where encounter took place,,,
purpose,Purpose (goal/task being addressed),,,
goal_objective,Goal and Objective being Addressed:,,,
progress_towards,Progress towards Goals and Objectives:,,,
subjective,Subjective (Client's description of the problem):,,,
objective,Objective (Objective observations of the client and problem):,,,
progress_since,"Progress Since Last Visit: Progress and Updates Since Last Visit OR If Appointment No Show/Cancelled, MUST Document Follow Up:",,,
goals_objectives,Goals/Objectives from TX Plan Addressed Today:,,,
response,Recipient Response/Plans Toward Goal(s):,,,
subjective,Subjective (Client's description of the problem):,,,
objective,Objective (Objective observations of the client and problem):,,,
description,Description,,accept,0.0
response,Response,,accept,0.0
description,Description,,accept,0.0
response,Response,,accept,0.0
effectiveness,Effectiveness,,accept,0.0
Progress_textbox,Observations Regarding Progress,,,
Intervention_textbox,Notable Observations/Intervention Comments,,,
symptoms_problems,Symptoms/Problems Status,,,
plan_information,"Plan/Additional Information, if applicable",,,
content_text,,,,
response_text,,,,
response_text,,,,
current_report,Current Report of Functioning or Life Changes:,,,
appearance_other,"If other appearance, please describe:",,,
mood_other,"If other mood, please describe:",,,
affect_other,"If other affect, please describe:",,,
observations,Observations,,accept,0.0
safety_details,Safety Plan Response/Details:,,,
presenting_problems,"Presenting Problem(s), as Indicated by Client/Family:",,,
curr_report,Current Report of Functioning or Life Changes:,,,
appearance_other,"If ""Other"", please describe:",,,
mood_other,"If ""Other"", please describe:",,,
affect_other,"If ""Other"", please describe:",,,
observations,Observations,,accept,0.0
intervention_other,"If ""Other"" please explain:",,,
progress_other,"If ""Other"" please explain:",,,
summary_response,Summary/Response of Interventions/Services,,,
safety_plan,Safety Plan Response/Details:,,,
scheduled_other,"If ""Other"" please explain:",,,
current_report,Current Report of Functioning or Life Changes:,,,
appearance_other,"If other appearance, please describe:",,,
mood_other,"If other mood, please describe:",,,
affect_other,"If other affect, please describe:",,,
observations,Observations,,accept,0.0
safety_details,Safety Plan Response/Details:,,,
current_report,Current Report of Functioning or Life Changes:,,,
appearance_other,"If other appearance, please describe:",,,
mood_other,"If other mood, please describe:",,,
affect_other,"If other affect, please describe:",,,
observations,Observations,,accept,0.0
safety_details,Safety Plan Response/Details:,,,
Summary_textbox,,,,
Interventions_textbox,,,,
Assessments_textbox,,,,
Plan_textbox,,,,
description,Description of Activity/encounter:,,,
narrative,"Session Narrative: Describe goal, interventions, client’s response, and provider’s next steps to address symptoms, behaviors, conditions, or problems experienced due to the wildfire crisis. Include suicide risk level and current status.	",,,
riskofharm_notes,Explain (Risk of Harm),,,
focus,Focus of Session,,,
assessment_risk,Assessment of Risk,,accept,0.0
response,Client Voice Response to Intervention/Progress,,,
description_issues,Description of Current Issues,,,
C_ManagementNotetxt,,,,
service_plan_text,,,,
tcm_service_text,,,,
service,Service,,accept,0.0
counseling_interventions,"""Therapeutic Interventions Provided""",,,
counseling_progress,Description of Service/Progress Towards Goals,,,
counseling_response,Client's/Other's response and insights to provider's intervention and recommendations,,,
counseling_plan,Additional Information/Plan (if applicable),,,
tbs_progress,Description of Service/Progress Towards Goals,,,
tbs_intervention,Client's/Other's response and insights to provider's intervention and recommendations,,,
cpst_progress,Description of Service/Progress Towards Goals,,,
cpst_intervention,Client's/Other's response and insights to provider's intervention and recommendations,,,
purpose,Purpose,,accept,0.0
Response,Response,,accept,0.0
relevant_text,Relevant issues reported,,,
objectives_text,Person's Report of Progress Towards Goals / Objectives Since Last Session,,,
narrative_text,Narrative/Interventions,,,
Narrative_text,,,,
narrative_text,Narrative,,accept,0.0
situation_text,"SITUATION - Current status, functioning, active symptoms",,,
intervention_text,INTERVENTION - Intervention used to address the symptoms*,,,
response_text,RESPONSE - Response of the Person to the intervention,,,
Narrative_text,,,,
purposeofmeeting,Purpose of Meeting:,,,
response,Client Response:,,,
purpose_text,PURPOSE: Directly relates to community support objective from IPC / ISA / One Plan.,,,
activity_text,ACTIVITY: Describe the activity that relates to the service intervention. ,,,
other_text,Other Evidence Based Practice/promising practice (not otherwise listed):,,,
response_text,RESPONSE: Individuals response to the service activity.,,,
overall_text,OVERALL OUTCOME: Progress toward objective & plan for next service.*,,,
chief_complaint,Subjective/Chief Concern,,,
medication_effects,Medication Adverse Effects,,,
review_of_systems,Review of Systems/Medical Issues,,,
objective,Objective,,accept,0.0
psych_assessment,Assessment,,accept,0.0
medication_risks_benefits,Medication Risks and Benefits,,accept,0.0
treatment_plan,Plan,,accept,0.0
purpose_text,,,,
activity_text,,,,
response_text,,,,
overall_outcome_text,,,,
individual_response,Individual's Response to Intervention,,,
talked_about,What we talked about,,,
plans,Plans (Who will do what by when?),,,
summary_text,,,,
response,Client Response and Participation,,,
planning,Discharge Planning/Follow Up,,,
purpose,Overall Purpose,,,
focus,Focus of Session,,,
mse,Mental Status Exam,,,
service,Service and Intervention Narrative,,,
response,Client Response and Participation,,,
planning,Discharge Planning/Follow Up,,,
symptoms_text,Symptoms/Risk Factors,,,
intervention_text,Intervention,,accept,0.0
response_text,Client response to intervention,,,
topicscovered_text,Topics Covered During SUD Treatment,,,
progress_text,Progress Made Towards Goals,,,
intervention_text,Intervention for Encounter,,,
response_text,Client Response to Intervention During Encounter,,,
Goals,Goals and Objectives Targeted in the Session,,,
Response,Clients Response or Reaction to Treatment Intervention(s),,,
Observations,Significant Observations/Observation of Risk to Self or Others,,,
goals,Goals,,accept,0.0
intervention_continued,Intervention Continued,,accept,0.0
Update_Assessment,Update/Assessment,,accept,0.0
InterventionTB,Intervention,,accept,0.0
activity_1,Coordination Activity,,,
activity_2,Coordination Activity,,,
activity_3,Coordination Activity,,,
activity_4,Coordination Activity,,,
purpose_text,Purpose of this intervention,,,
medical_necessity_text,Medical Necessity,,accept,0.0
staff_role_text,Staff role,,accept,0.0
behavior_text,"Participant behavior, affect, response to interventions provided",,,
next_steps_text,Next steps,,accept,0.0
comments_text,Comments,,accept,0.0
clinintervention_progress,Clinical Intervention / Progress Towards Measurable Outcomes,,,
progress_note,Progress Note,,accept,0.0
intervension_focus_of_session,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
describe_intervensions_provided,Describe the interventions provided.,,,
describe_clients_response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
document_the_plan,Document the plan. If there were barriers describe the plan to overcome the barriers.,,,
plan_from_last_service,Plan from Last Service,,accept,0.0
employment_education,Employment/education goals addressed in this session,,,
narrative,Tobacco Cessation Services Provided:,,,
response,Client response (and family if applicable) to session provided: Prompt client to restate to reflect learning:,,,
housing_intervention,Content / Intervention and Progress,,,
peer_intervention,Content / Intervention and Progress,,,
residential_progress,"Progress (or lack of) towards Treatment Plans, Goals, Objectives addressed by this Progress Note",,,
residential_assessment_plan,Case Manager's Assessment / Plan of Action,,,
lincoln_service,Service,,accept,0.0
lincoln_next_steps,"Next Steps including, but not limited to, planned action steps by the provider or by the beneficiary, collaboration with the beneficiary, collaboration with other provider(s) and any update to the problem list as appropriate.",,,
summary_text,Summary,,accept,0.0
additional_summary_text,Additional Summary,,accept,0.0
psych_assessment_plan,Psych Assessment & Plan,,accept,0.0
focus,"What was the focus of the session (i.e alleviation of emotional disturbances, reversal or change of maladaptive Patters or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barrier to progress.",,,
GoalTB,Client Goal Addressed (FACE TO FACE ONLY),,,
InterventionTB,Staff Intervention (FACE TO FACE ONLY),,,
ResponseTB,Client Response to Intervention (FACE TO FACE ONLY),,,
PlanTB,Plan (What are the next Steps):,,,
NotesTB,Notes:,,accept,0.0
if_yes,If Yes Specify:,,,
purpose_of, Purpose of Visit:,,,
behavioral_obs,Behavioral Observations:,,,
additional_comments,Additional Comments:,,accept,0.0
fyes_spec,If Yes Specify:,,,
findings_planemptytxt,Findings and Plan,,,
note_topics,Note On Topics Discussed Findings & Plan:,,,
persons_involved, Persons involved in this event:,,,
desc_activitytxt,Describe Individualized Activity,,,
situation_text,Situation,,accept,0.0
intervention_text,Intervention,,accept,0.0
response_text,Response,,accept,0.0
situation,Situation,,accept,0.0
response,Client Response,,,
appointment,Next Appointment Date/Time,,,
situation,Situation,,accept,0.0
response,Client Response to Intervention,,,
situation,Situation,,accept,0.0
stage,List treatment stage,,,
response,Client Response to Intervention,,,
referral,Referral,,accept,0.0
whyreferred,"If referred, please explain why.",,,
appt,Next Appoint Date/Time,,,
situation,Situation,,accept,0.0
next_appointment,Next Appointment Date/Time,,,
situation,Situation,,accept,0.0
response,Client Response,,,
appt,Next Appointment Date/Time,,,
nature_text,,,,
men_stat_text,,,,
req_description_text,,,,
